Player,Runs,Average Runs,Strike Rate,Centuries,Half Centuries,Highest Run,No. of Balls,Average Balls Faced
Fanie de Villiers,12.0,12.0,109.09,0,0,12.0,11.0,11
Faoud Bacchus,157.0,31.4,65.85,0,1,80.0,251.0,51
Farhaan Behardien,74.0,37.0,203.22,0,1,64.0,36.0,18
Farokh Engineer,78.0,39.0,62.36,0,1,54.0,129.0,65
Faruque Ahmed,16.0,8.0,42.7,0,0,9.0,40.0,20
Farveez Maharoof,39.0,13.0,116.39,0,0,25.0,36.0,12
Fazalhaq Farooqi,2.0,0.67,16.67,0,0,2.0,9.0,3
Fazil Sattaur,20.0,6.67,34.17,0,0,13.0,60.0,20
Feiko Kloppenburg,158.0,31.6,46.5,1,1,121.0,243.0,49
Flavian Aponso,120.0,30.0,41.58,0,1,58.0,247.0,62
Frank Hayes,90.0,30.0,71.05,0,1,52.0,136.0,46
Franklyn Dennis,47.0,15.67,24.26,0,0,25.0,171.0,57
Frasat Ali,57.0,19.0,23.3,0,0,45.0,176.0,59
Fraser Watts,33.0,16.5,45.27,0,0,24.0,69.0,35
Freddie Coleman,77.0,25.67,46.11,0,1,70.0,97.0,33
Friday Kasteni,9.0,4.5,19.57,0,0,9.0,24.0,12
Ganesh Mylvaganam,36.0,12.0,29.96,0,0,23.0,92.0,31
Gary Ballance,36.0,9.0,53.45,0,0,10.0,71.0,18
Gary Brent,12.0,6.0,62.5,0,0,9.0,21.0,11
Gary Cosier,6.0,3.0,15.0,0,0,6.0,21.0,11
Gary Gilmour,28.0,28.0,100.0,0,0,28.0,28.0,28
Gary Kirsten,806.0,38.38,64.5,1,6,188.0,1068.0,51
Gary Troup,3.0,3.0,100.0,0,0,3.0,3.0,3
Gary Wilson,263.0,26.3,79.99,0,2,80.0,281.0,29
Gautam Gambhir,393.0,43.67,85.43,0,4,97.0,462.0,52
Gavin Hamilton,228.0,28.5,51.62,0,2,76.0,360.0,45
Gavin Larsen,76.0,12.67,74.44,0,0,37.0,128.0,22
Gavin Murgatroyd,90.0,15.0,46.15,0,1,52.0,145.0,25
Geoff Allott,0.0,0.0,0.0,0,0,0.0,2.0,2
Geoff Arnold,18.0,18.0,60.0,0,0,18.0,30.0,30
Geoff Barnett,88.0,29.33,79.18,0,0,41.0,129.0,43
Geoff Boycott,92.0,18.4,32.15,0,1,57.0,214.0,43
Geoff Dymock,14.0,7.0,44.44,0,0,10.0,30.0,15
Geoff Howarth,374.0,34.0,63.51,0,4,76.0,569.0,52
Geoff Lawson,24.0,6.0,76.25,0,0,16.0,35.0,9
Geoff Marsh,579.0,44.54,53.22,2,4,126.0,987.0,76
George Bailey,55.0,55.0,79.71,0,1,55.0,69.0,69
George Codrington,7.0,7.0,87.5,0,0,7.0,8.0,8
George Dockrell,96.0,10.67,92.74,0,0,25.0,138.0,16
George Salmond,57.0,11.4,44.56,0,0,31.0,109.0,22
Gerald Coetzee,54.0,13.5,80.32,0,0,22.0,78.0,20
Gerald Peckover,33.0,11.0,57.99,0,0,16.0,54.0,18
Gerrie Snyman,5.0,1.25,20.83,0,0,5.0,9.0,3
Gladstone Small,8.0,2.0,31.94,0,0,5.0,23.0,6
Glenn Maxwell,901.0,36.04,143.04,3,5,201.0,562.0,23
Glenn McGrath,3.0,0.75,37.5,0,0,3.0,5.0,2
Glenn Phillips,285.0,31.67,119.54,0,2,71.0,255.0,29
Glenn Rogers,32.0,16.0,59.11,0,0,26.0,49.0,25
Glenn Turner,612.0,43.71,55.97,2,4,171.0,956.0,69
Glenroy Sealy,73.0,24.33,52.52,0,0,45.0,149.0,50
Gordon Greenidge,578.0,41.29,56.57,2,6,106.0,938.0,67
Graeme Cremer,99.0,19.8,57.72,0,0,37.0,144.0,29
Graeme Fowler,360.0,51.43,60.8,0,4,81.0,573.0,82
Graeme Hick,635.0,33.42,61.23,1,7,104.0,858.0,46
Graeme Labrooy,19.0,19.0,55.88,0,0,19.0,34.0,34
Graeme Porter,3.0,3.0,33.33,0,0,3.0,9.0,9
Graeme Smith,747.0,37.35,75.37,0,6,91.0,865.0,44
Graeme Swann,60.0,10.0,112.78,0,0,16.0,51.0,9
Graeme Wood,144.0,28.8,51.79,0,1,73.0,256.0,52
